#kind=historical_reanalysis
#name=Newcastle upon Tyne, May-August 2021
#source=Open-Meteo Historical Weather API; ECMWF ERA5
#source_url=https://archive-api.open-meteo.com/v1/archive?latitude=54.9783&longitude=-1.6178&start_date=2021-05-01&end_date=2021-09-01&hourly=temperature_2m%2Crain%2Cshortwave_radiation%2Cwind_speed_10m&timezone=GMT&wind_speed_unit=ms&models=era5
#raw_sha256=ca6210ba882279f2dcf60a2a8e54530e9d30a69dce49cb5a6abfcf50466d4fa0
#license=CC BY 4.0; credit Open-Meteo and Copernicus Climate Change Service
#time_basis=UTC; rain and solar shifted to interval-start; temperature and wind instantaneous
time_utc,temperature_c,rain_mm_hour,solar_wm2,wind_ms
2021-05-01T00:00,4.7,0.0,0.0,2.55
2021-05-01T01:00,4.6,0.0,0.0,2.21
2021-05-01T02:00,3.9,0.0,0.0,2.19
2021-05-01T03:00,3.4,0.0,0.0,2.33
2021-05-01T04:00,3.3,0.0,5.0,2.46
2021-05-01T05:00,3.5,0.0,58.0,2.73
2021-05-01T06:00,4.0,0.0,199.0,3.09
2021-05-01T07:00,5.4,0.0,351.0,3.45
2021-05-01T08:00,6.8,0.0,461.0,3.71
2021-05-01T09:00,7.6,0.0,580.0,3.67
2021-05-01T10:00,8.0,0.0,668.0,2.89
2021-05-01T11:00,8.3,0.0,699.0,3.23
2021-05-01T12:00,8.4,0.0,723.0,3.62
2021-05-01T13:00,8.2,0.0,699.0,3.72
2021-05-01T14:00,8.6,0.0,578.0,3.74
2021-05-01T15:00,8.1,0.0,496.0,3.58
2021-05-01T16:00,8.0,0.0,376.0,3.42
2021-05-01T17:00,7.8,0.0,211.0,3.14
2021-05-01T18:00,7.8,0.0,100.0,2.62
2021-05-01T19:00,7.1,0.0,11.0,1.77
2021-05-01T20:00,5.8,0.0,0.0,1.39
2021-05-01T21:00,5.7,0.0,0.0,0.42
2021-05-01T22:00,5.5,0.0,0.0,0.14
2021-05-01T23:00,3.8,0.0,0.0,0.57
2021-05-02T00:00,3.2,0.0,0.0,0.89
2021-05-02T01:00,2.1,0.0,0.0,1.6
2021-05-02T02:00,1.6,0.0,0.0,1.63
2021-05-02T03:00,1.6,0.0,0.0,1.87
2021-05-02T04:00,2.1,0.0,7.0,1.94
2021-05-02T05:00,2.7,0.0,83.0,1.92
2021-05-02T06:00,3.0,0.1,212.0,2.32
2021-05-02T07:00,5.3,0.0,345.0,1.9
2021-05-02T08:00,8.0,0.0,463.0,2.09
2021-05-02T09:00,9.4,0.0,596.0,1.99
2021-05-02T10:00,10.0,0.1,586.0,2.51
2021-05-02T11:00,9.9,0.2,668.0,2.51
2021-05-02T12:00,10.3,0.3,634.0,2.0
2021-05-02T13:00,10.1,0.3,649.0,1.7
2021-05-02T14:00,10.5,0.3,447.0,1.04
2021-05-02T15:00,9.9,0.5,344.0,0.22
2021-05-02T16:00,10.4,0.5,237.0,0.54
2021-05-02T17:00,9.7,0.3,150.0,0.63
2021-05-02T18:00,9.5,0.2,62.0,0.89
2021-05-02T19:00,9.2,0.0,9.0,1.0
2021-05-02T20:00,7.2,0.0,0.0,1.04
2021-05-02T21:00,7.0,0.0,0.0,1.24
2021-05-02T22:00,6.8,0.0,0.0,1.5
2021-05-02T23:00,6.9,0.0,0.0,1.64
2021-05-03T00:00,6.4,0.0,0.0,1.88
2021-05-03T01:00,5.7,0.0,0.0,1.87
2021-05-03T02:00,4.8,0.0,0.0,2.16
2021-05-03T03:00,4.3,0.0,0.0,2.26
2021-05-03T04:00,3.9,0.0,8.0,2.34
2021-05-03T05:00,3.8,0.0,74.0,2.24
2021-05-03T06:00,4.9,0.0,200.0,2.19
2021-05-03T07:00,6.7,0.0,301.0,2.02
2021-05-03T08:00,8.4,0.0,356.0,2.91
2021-05-03T09:00,9.3,0.0,382.0,4.0
2021-05-03T10:00,10.0,0.1,340.0,5.04
2021-05-03T11:00,9.7,0.3,249.0,6.14
2021-05-03T12:00,9.0,0.7,215.0,7.62
2021-05-03T13:00,8.4,1.5,148.0,7.97
2021-05-03T14:00,7.7,2.2,56.0,7.34
2021-05-03T15:00,6.8,2.2,39.0,8.78
2021-05-03T16:00,6.6,3.5,23.0,10.2
2021-05-03T17:00,6.5,2.4,16.0,9.57
2021-05-03T18:00,6.8,0.2,15.0,7.62
2021-05-03T19:00,7.5,0.0,5.0,5.71
2021-05-03T20:00,7.7,0.0,0.0,4.42
2021-05-03T21:00,7.0,0.0,0.0,3.26
2021-05-03T22:00,6.2,0.2,0.0,2.69
2021-05-03T23:00,5.7,0.1,0.0,2.55
2021-05-04T00:00,5.3,0.0,0.0,2.92
2021-05-04T01:00,5.5,0.0,0.0,3.09
2021-05-04T02:00,5.7,0.0,0.0,3.92
2021-05-04T03:00,5.6,0.3,0.0,5.02
2021-05-04T04:00,5.8,0.6,3.0,5.61
2021-05-04T05:00,6.3,0.7,27.0,7.06
2021-05-04T06:00,5.9,0.7,52.0,8.84
2021-05-04T07:00,6.1,0.7,77.0,9.36
2021-05-04T08:00,6.4,0.5,143.0,9.17
2021-05-04T09:00,6.6,0.3,224.0,8.87
2021-05-04T10:00,7.1,0.3,390.0,9.5
2021-05-04T11:00,7.8,0.2,378.0,9.01
2021-05-04T12:00,7.7,0.2,352.0,8.86
2021-05-04T13:00,7.4,0.2,295.0,8.77
2021-05-04T14:00,7.3,0.1,359.0,9.23
2021-05-04T15:00,7.3,0.0,354.0,8.47
2021-05-04T16:00,7.4,0.0,271.0,8.27
2021-05-04T17:00,7.0,0.0,168.0,8.01
2021-05-04T18:00,6.7,0.0,81.0,7.35
2021-05-04T19:00,6.2,0.0,11.0,6.8
2021-05-04T20:00,5.7,0.0,0.0,6.3
2021-05-04T21:00,5.2,0.0,0.0,6.11
2021-05-04T22:00,4.3,0.0,0.0,6.44
2021-05-04T23:00,4.1,0.0,0.0,7.36
2021-05-05T00:00,3.7,0.0,0.0,7.52
2021-05-05T01:00,3.6,0.0,0.0,7.21
