#kind=historical_reanalysis
#name=Newcastle upon Tyne, May-August 2023
#source=Open-Meteo Historical Weather API; ECMWF ERA5
#source_url=https://archive-api.open-meteo.com/v1/archive?latitude=54.9783&longitude=-1.6178&start_date=2023-05-01&end_date=2023-09-01&hourly=temperature_2m%2Crain%2Cshortwave_radiation%2Cwind_speed_10m&timezone=GMT&wind_speed_unit=ms&models=era5
#raw_sha256=0c8dea1e028ece9f7ed137e0041db6935947d84ef34c817d36ddcc6049b482a2
#license=CC BY 4.0; credit Open-Meteo and Copernicus Climate Change Service
#time_basis=UTC; rain and solar shifted to interval-start; temperature and wind instantaneous
time_utc,temperature_c,rain_mm_hour,solar_wm2,wind_ms
2023-05-01T00:00,11.1,0.0,0.0,3.31
2023-05-01T01:00,11.0,0.0,0.0,3.2
2023-05-01T02:00,10.7,0.0,0.0,3.2
2023-05-01T03:00,10.4,0.0,0.0,3.54
2023-05-01T04:00,10.2,0.0,3.0,3.71
2023-05-01T05:00,9.9,0.0,49.0,3.77
2023-05-01T06:00,10.3,0.0,151.0,4.15
2023-05-01T07:00,10.8,0.0,283.0,5.0
2023-05-01T08:00,11.5,0.0,414.0,5.01
2023-05-01T09:00,12.5,0.0,486.0,4.75
2023-05-01T10:00,14.0,0.3,472.0,3.84
2023-05-01T11:00,14.4,0.3,461.0,3.58
2023-05-01T12:00,13.6,0.1,404.0,4.41
2023-05-01T13:00,11.4,0.0,283.0,5.79
2023-05-01T14:00,10.0,0.0,246.0,6.26
2023-05-01T15:00,9.4,0.0,174.0,5.89
2023-05-01T16:00,9.5,0.0,138.0,5.34
2023-05-01T17:00,9.1,0.0,89.0,5.19
2023-05-01T18:00,8.7,0.0,21.0,4.65
2023-05-01T19:00,8.2,0.0,2.0,4.03
2023-05-01T20:00,7.9,0.0,0.0,3.62
2023-05-01T21:00,7.8,0.0,0.0,3.16
2023-05-01T22:00,7.6,0.0,0.0,2.62
2023-05-01T23:00,7.6,0.0,0.0,2.77
2023-05-02T00:00,7.5,0.0,0.0,2.66
2023-05-02T01:00,7.3,0.0,0.0,2.47
2023-05-02T02:00,7.1,0.0,0.0,2.2
2023-05-02T03:00,6.9,0.0,0.0,1.88
2023-05-02T04:00,6.8,0.0,3.0,1.68
2023-05-02T05:00,6.9,0.0,22.0,1.51
2023-05-02T06:00,6.9,0.0,41.0,1.61
2023-05-02T07:00,7.2,0.0,116.0,1.84
2023-05-02T08:00,7.7,0.0,184.0,2.11
2023-05-02T09:00,8.1,0.0,221.0,2.42
2023-05-02T10:00,8.9,0.0,324.0,2.91
2023-05-02T11:00,9.6,0.0,347.0,3.32
2023-05-02T12:00,10.0,0.0,301.0,3.58
2023-05-02T13:00,10.4,0.0,314.0,3.72
2023-05-02T14:00,10.8,0.0,267.0,3.62
2023-05-02T15:00,11.3,0.0,181.0,3.36
2023-05-02T16:00,11.1,0.0,124.0,3.22
2023-05-02T17:00,10.6,0.0,82.0,3.78
2023-05-02T18:00,10.0,0.0,38.0,4.13
2023-05-02T19:00,9.5,0.0,4.0,4.06
2023-05-02T20:00,8.9,0.0,0.0,3.82
2023-05-02T21:00,8.4,0.0,0.0,3.66
2023-05-02T22:00,8.2,0.0,0.0,2.88
2023-05-02T23:00,7.9,0.0,0.0,3.08
2023-05-03T00:00,7.8,0.0,0.0,3.22
2023-05-03T01:00,7.5,0.0,0.0,3.38
2023-05-03T02:00,7.2,0.0,0.0,3.45
2023-05-03T03:00,7.1,0.0,0.0,3.49
2023-05-03T04:00,7.0,0.0,2.0,3.26
2023-05-03T05:00,7.0,0.0,38.0,3.16
2023-05-03T06:00,7.4,0.0,113.0,3.16
2023-05-03T07:00,8.4,0.0,236.0,3.03
2023-05-03T08:00,9.9,0.0,329.0,3.04
2023-05-03T09:00,11.2,0.0,410.0,3.29
2023-05-03T10:00,12.6,0.0,575.0,3.55
2023-05-03T11:00,14.0,0.0,464.0,3.85
2023-05-03T12:00,14.5,0.0,474.0,4.3
2023-05-03T13:00,14.7,0.0,516.0,4.96
2023-05-03T14:00,14.6,0.0,475.0,5.31
2023-05-03T15:00,14.5,0.0,339.0,5.23
2023-05-03T16:00,13.5,0.0,253.0,5.39
2023-05-03T17:00,12.6,0.0,161.0,5.47
2023-05-03T18:00,11.2,0.0,76.0,5.39
2023-05-03T19:00,10.0,0.0,10.0,5.11
2023-05-03T20:00,8.6,0.0,0.0,4.83
2023-05-03T21:00,7.7,0.0,0.0,4.55
2023-05-03T22:00,7.4,0.0,0.0,4.34
2023-05-03T23:00,7.3,0.0,0.0,4.55
2023-05-04T00:00,7.1,0.0,0.0,4.47
2023-05-04T01:00,7.2,0.0,0.0,4.42
2023-05-04T02:00,7.0,0.0,0.0,4.48
2023-05-04T03:00,7.3,0.0,0.0,4.88
2023-05-04T04:00,7.4,0.0,6.0,4.92
2023-05-04T05:00,7.7,0.0,61.0,4.96
2023-05-04T06:00,8.1,0.0,104.0,6.48
2023-05-04T07:00,8.4,0.0,170.0,6.61
2023-05-04T08:00,8.5,0.0,302.0,6.89
2023-05-04T09:00,8.9,0.0,331.0,6.99
2023-05-04T10:00,9.2,0.0,404.0,6.62
2023-05-04T11:00,9.4,0.0,404.0,7.2
2023-05-04T12:00,9.4,0.0,461.0,7.33
2023-05-04T13:00,9.6,0.0,519.0,7.52
2023-05-04T14:00,10.0,0.0,468.0,7.41
2023-05-04T15:00,9.7,0.0,420.0,7.42
2023-05-04T16:00,9.4,0.0,293.0,7.31
2023-05-04T17:00,8.9,0.0,186.0,7.31
2023-05-04T18:00,8.5,0.0,80.0,7.31
2023-05-04T19:00,7.9,0.0,10.0,6.5
2023-05-04T20:00,7.6,0.0,0.0,5.81
2023-05-04T21:00,7.7,0.0,0.0,5.52
2023-05-04T22:00,7.9,0.0,0.0,5.6
2023-05-04T23:00,7.9,0.0,0.0,5.7
2023-05-05T00:00,8.1,0.0,0.0,5.22
2023-05-05T01:00,8.3,0.0,0.0,4.72
2023-05-05T02:00,8.4,0.9,0.0,4.2
2023-05-05T03:00,8.5,0.5,0.0,3.71
2023-05-05T04:00,8.5,0.5,6.0,2.73
2023-05-05T05:00,8.4,0.0,49.0,2.4
2023-05-05T06:00,8.8,0.0,58.0,2.38
2023-05-05T07:00,9.3,0.1,224.0,2.42
2023-05-05T08:00,10.0,0.4,320.0,1.91
2023-05-05T09:00,11.3,0.2,445.0,1.58
2023-05-05T10:00,12.6,0.1,460.0,1.17
2023-05-05T11:00,13.4,0.2,510.0,1.88
2023-05-05T12:00,14.4,0.2,477.0,1.7
2023-05-05T13:00,14.9,0.3,545.0,1.75
2023-05-05T14:00,16.1,0.8,378.0,2.1
2023-05-05T15:00,15.6,2.1,314.0,3.09
2023-05-05T16:00,14.5,0.2,268.0,3.49
2023-05-05T17:00,14.1,1.5,131.0,4.18
2023-05-05T18:00,13.7,0.0,63.0,4.3
2023-05-05T19:00,13.2,0.0,13.0,2.47
2023-05-05T20:00,11.8,0.0,0.0,1.8
2023-05-05T21:00,10.9,0.0,0.0,1.65
2023-05-05T22:00,11.4,0.0,0.0,1.71
2023-05-05T23:00,10.4,0.0,0.0,2.06
2023-05-06T00:00,9.7,0.0,0.0,1.3
2023-05-06T01:00,9.3,0.0,0.0,1.26
2023-05-06T02:00,9.0,0.0,0.0,1.43
2023-05-06T03:00,8.9,0.0,0.0,0.81
2023-05-06T04:00,8.7,0.0,9.0,0.6
2023-05-06T05:00,9.0,0.0,73.0,0.76
2023-05-06T06:00,9.2,0.0,136.0,0.92
2023-05-06T07:00,10.1,0.0,232.0,1.21
2023-05-06T08:00,11.0,0.0,335.0,1.79
2023-05-06T09:00,12.1,0.0,507.0,2.56
2023-05-06T10:00,14.2,0.0,558.0,2.51
2023-05-06T11:00,14.7,0.1,535.0,3.23
2023-05-06T12:00,15.2,0.1,550.0,3.73
2023-05-06T13:00,15.6,0.1,557.0,4.12
2023-05-06T14:00,14.8,0.1,477.0,4.48
2023-05-06T15:00,14.9,0.0,388.0,4.85
2023-05-06T16:00,14.4,0.0,236.0,4.7
2023-05-06T17:00,13.5,0.0,160.0,4.8
2023-05-06T18:00,13.0,0.0,77.0,4.04
2023-05-06T19:00,12.5,0.0,10.0,3.5
2023-05-06T20:00,11.7,0.0,0.0,3.06
2023-05-06T21:00,11.3,0.0,0.0,2.84
2023-05-06T22:00,11.2,0.0,0.0,2.51
2023-05-06T23:00,11.1,0.0,0.0,2.77
2023-05-07T00:00,10.6,0.0,0.0,2.59
2023-05-07T01:00,10.3,0.0,0.0,2.28
2023-05-07T02:00,9.9,0.0,0.0,2.24
2023-05-07T03:00,9.7,0.0,0.0,2.15
2023-05-07T04:00,10.0,0.0,8.0,2.28
2023-05-07T05:00,9.8,0.0,60.0,2.21
2023-05-07T06:00,10.0,0.0,77.0,2.28
2023-05-07T07:00,10.6,0.0,183.0,2.21
2023-05-07T08:00,11.5,0.0,266.0,2.02
2023-05-07T09:00,12.1,0.0,348.0,1.77
2023-05-07T10:00,12.7,0.0,532.0,1.73
2023-05-07T11:00,13.9,0.1,631.0,1.82
2023-05-07T12:00,14.8,0.0,622.0,2.69
2023-05-07T13:00,15.5,0.0,546.0,3.01
2023-05-07T14:00,15.5,0.0,520.0,3.2
2023-05-07T15:00,15.5,0.1,428.0,2.77
2023-05-07T16:00,15.7,0.0,301.0,2.82
2023-05-07T17:00,15.2,0.0,163.0,2.94
2023-05-07T18:00,14.4,0.0,77.0,2.73
2023-05-07T19:00,13.5,0.0,12.0,2.48
2023-05-07T20:00,12.4,0.0,0.0,1.84
2023-05-07T21:00,11.9,0.0,0.0,1.8
2023-05-07T22:00,11.5,0.0,0.0,2.21
2023-05-07T23:00,11.4,0.0,0.0,2.21
2023-05-08T00:00,11.4,0.0,0.0,1.49
2023-05-08T01:00,11.4,0.0,0.0,1.2
