day,workers,brood,queen,extinct,plants,corpses,food_sites,sugar,protein,births,deaths,soil_moved,minerals,temperature_c,rain_mm_h,worker_actions
0.0000,29,0,1,0,12,0,0,11400.0000,936.0000,0,0,0,322288,10.0608,0.0000,0
1.0000,29,2,1,0,13,0,0,11907.0000,920.0000,0,0,758,322288,10.9608,0.0000,298122
2.0000,29,4,1,0,14,0,0,12237.0000,904.0000,0,0,1304,322288,11.7608,0.0000,572166
3.0000,29,6,1,0,14,0,0,11892.0000,888.0000,0,0,1384,322288,13.4608,0.0000,857728
4.0000,29,8,1,0,15,0,0,13059.0000,1221.0000,0,0,1456,322288,10.5608,0.0000,1144090
5.0000,29,10,1,0,17,0,0,14201.0000,1205.0000,0,0,1510,322288,11.0608,0.0000,1440526
6.0000,29,12,1,0,18,0,7,15100.0000,1189.0000,0,0,1556,322288,9.9608,0.0000,1687771
7.0000,29,14,1,0,18,0,7,15243.0000,1173.0000,0,0,1584,322288,8.4608,0.0000,1904224
8.0000,29,16,1,0,18,0,10,16294.0000,1157.0000,0,0,1612,322288,7.6608,0.0000,2118865
9.0000,29,18,1,0,19,0,9,16683.0000,1141.0000,0,0,1640,322288,9.1608,0.0000,2330301
10.0000,29,20,1,0,19,0,11,17784.0000,1125.0000,0,0,1662,322288,8.8608,0.0000,2536908
11.0000,29,22,1,0,19,0,9,18527.0000,1629.0000,0,0,1680,322288,9.4608,0.0000,2758226
12.0000,29,24,1,0,19,0,10,18726.0000,2268.0000,0,0,1694,322288,11.7608,0.0000,2971052
13.0000,29,26,1,0,19,0,14,18941.0000,2252.0000,0,0,1704,322288,11.9608,0.0000,3179811
14.0000,29,28,1,0,19,0,16,19342.0000,2236.0000,0,0,1712,322288,9.0608,0.0000,3396620
15.0000,29,30,1,0,19,0,20,20637.0000,2820.0000,0,0,1720,322288,10.2608,0.0000,3612421
16.0000,29,32,1,0,19,0,20,21557.0000,2804.0000,0,0,1726,322288,9.1608,0.0000,3822706
17.0000,29,34,1,0,19,0,20,22326.0000,2676.0000,0,0,1734,322288,8.5608,0.0000,4038684
18.0000,29,36,1,0,19,0,21,23006.0000,2500.0000,0,0,1738,322288,11.7608,0.0000,4257108
19.0000,29,38,1,0,19,0,22,24031.0000,2276.0000,0,0,1752,322288,11.6608,0.0000,4466598
20.0000,29,40,1,0,19,0,28,24643.0000,2901.0000,0,0,1770,322288,12.2608,0.0000,4673552
21.0000,29,42,1,0,19,0,31,25622.0000,2573.0000,0,0,1770,322288,11.6608,0.0000,4885106
22.0000,29,44,1,0,19,0,33,26311.0000,2149.0000,0,0,1782,322288,11.5608,0.0000,5104152
23.0000,29,46,1,0,19,0,32,26410.0000,1717.0000,0,0,1794,322288,7.5608,0.0000,5305457
24.0000,29,48,1,0,19,0,34,28018.0000,1229.0000,0,0,1814,322288,8.5608,0.0000,5521554
25.0000,29,50,1,0,19,0,33,28434.0000,693.0000,0,0,1828,322288,11.0608,0.0000,5735381
26.0000,29,52,1,0,19,0,34,28726.0000,110.0000,0,0,1838,322288,9.4608,0.0000,5950149
27.0000,29,52,1,0,19,0,39,28424.0000,4.0000,0,0,1846,322288,9.6608,0.0000,6166992
28.0000,29,53,1,0,19,0,44,30152.0000,32.0000,0,0,1858,322288,8.7608,0.0000,6379676
29.0000,29,55,1,0,19,0,45,31802.0000,16.0000,0,0,1866,322288,8.7608,0.0000,6585780
30.0000,29,55,1,0,19,2,47,32333.0000,84.0000,0,0,1868,322288,9.3608,0.0000,6794800
31.0000,29,56,1,0,19,3,47,32612.0000,80.0000,0,0,1882,322288,10.7608,0.0000,7013683
32.0000,29,57,1,0,17,4,45,32533.0000,64.0000,0,0,1898,322288,11.2608,0.0000,7232175
33.0000,29,58,1,0,18,5,46,32482.0000,48.0000,0,0,1906,322288,11.1608,0.0000,7446260
34.0000,29,58,1,0,17,7,47,32215.0000,32.0000,0,0,1916,322288,12.0608,0.0000,7660218
35.0000,29,58,1,0,17,9,47,32918.0000,16.0000,0,0,1922,322288,9.8608,0.0000,7876098
36.0000,29,45,1,0,17,24,47,33952.0000,0.0000,0,0,1938,322288,12.5608,0.0000,8114174
37.0000,29,33,1,0,17,36,49,34465.0000,0.0000,0,0,1944,322288,15.2608,0.0000,8364768
38.0000,29,33,1,0,17,37,51,35329.0000,35.0000,0,0,1962,322288,14.1608,0.0000,8586627
39.0000,29,35,1,0,16,37,50,36060.0000,12.0000,0,0,1970,322288,13.8608,0.0000,8797038
40.0000,29,37,1,0,14,37,53,36579.0000,232.0000,0,0,1984,322288,12.7608,0.0000,9013027
41.0000,29,39,1,0,13,37,53,36452.0000,52.0000,0,0,1988,322288,12.8608,0.0000,9225931
42.0000,29,41,1,0,13,37,50,36280.0000,36.0000,0,0,2004,322288,13.9608,0.0000,9439606
43.0000,29,43,1,0,13,37,50,35486.0000,68.0000,0,0,2012,322288,13.9608,0.0000,9641011
44.0000,29,45,1,0,12,37,49,35130.0000,52.0000,0,0,2020,322288,15.5608,1.7031,9854352
45.0000,29,46,1,0,12,38,48,36866.0000,36.0000,0,0,2030,322288,15.3608,0.0000,10063493
46.0000,29,44,1,0,12,42,47,35182.0000,20.0000,0,0,2034,322288,15.7608,0.0000,10278153
47.0000,29,43,1,0,12,45,50,37741.0000,4.0000,0,0,2040,322288,14.8608,0.0000,10491989
48.0000,29,37,1,0,11,51,49,40956.0000,4.0000,0,0,2050,322288,12.6608,0.0000,10701809
49.0000,29,27,1,0,11,61,50,40783.0000,4.0000,0,0,2052,322288,18.4608,0.0000,10929290
50.0000,29,25,1,0,11,63,49,41535.0000,4.0000,0,0,2060,322288,17.7608,0.0000,11140577
51.0000,29,22,1,0,9,64,47,42532.0000,4.0000,0,0,2080,322288,14.1608,0.0000,11351338
52.0000,29,20,1,0,9,65,42,43447.0000,4.0000,0,0,2104,322288,13.8608,0.0000,11569430
53.0000,29,19,1,0,9,65,39,41149.0000,4.0000,0,0,2108,322288,17.6608,0.0000,11790508
54.0000,29,19,1,0,9,64,41,39247.0000,4.0000,0,0,2112,322288,13.7608,0.0000,12003333
